Unnamed: 0,Year,Sem,Course Code,Section,AB,BB,DD,FR,Total,AA,BC,CC,CD,II,AU,FF,AP,PP,NP,W,S,pp,DX,Unnamed: 22,section_tag_div
5498,2021,2,CL 604,Total Grades Given for are,7.0,4.0,,2.0,39,6.0,4.0,9.0,2.0,,5.0,,,,,,,,,,
5499,2021,2,CL 607,Total Grades Given for are,15.0,20.0,1.0,6.0,64,12.0,8.0,1.0,1.0,,,,,,,,,,,,
5500,2021,2,CL 610,Total Grades Given for are,16.0,3.0,,2.0,38,15.0,2.0,,,,,,,,,,,,,,
5501,2021,2,CL 613,Total Grades Given for are,5.0,7.0,,1.0,25,3.0,3.0,3.0,,,3.0,,,,,,,,,,
5502,2021,2,CL 620,Total Grades Given for are,4.0,5.0,,3.0,16,2.0,1.0,,1.0,,,,,,,,,,,,
5503,2021,2,CL 651,Total Grades Given for are,5.0,7.0,,3.0,16,1.0,,,,,,,,,,,,,,,
5504,2021,2,CL 669,Total Grades Given for are,15.0,12.0,2.0,1.0,51,6.0,8.0,4.0,1.0,,1.0,,1.0,,,,,,,,
5505,2021,2,CL 678,Total Grades Given for are,17.0,12.0,5.0,,63,10.0,6.0,2.0,4.0,,1.0,6.0,,,,,,,,,
5506,2021,2,CL 686,Total Grades Given for are,16.0,3.0,1.0,3.0,37,3.0,5.0,4.0,,,2.0,,,,,,,,,,
5507,2021,2,CL 694,Total Grades Given for are,18.0,8.0,,,55,17.0,2.0,1.0,,9.0,,,,,,,,,,,
5508,2021,2,CL 704,Total Grades Given for are,,,,,90,,,,,,,,,85.0,5.0,,,,,,
5509,2021,2,CL 713,Total Grades Given for are,7.0,9.0,6.0,1.0,50,6.0,7.0,4.0,4.0,5.0,,,1.0,,,,,,,,
5510,2021,2,CL 715,Total Grades Given for are,,1.0,,3.0,6,2.0,,,,,,,,,,,,,,,
5511,2021,2,CL 716,Total Grades Given for are,,,,4.0,5,1.0,,,,,,,,,,,,,,,
5512,2021,2,CL 717,Total Grades Given for are,2.0,2.0,2.0,13.0,21,,,2.0,,,,,,,,,,,,,
5513,2021,2,CL 720,Total Grades Given for are,1.0,,,,4,2.0,,,,,1.0,,,,,,,,,,
5514,2021,2,CL 722,Total Grades Given for are,1.0,1.0,1.0,1.0,8,2.0,1.0,,1.0,,,,,,,,,,,,
5515,2021,2,CL 899,Total Grades Given for are,,,,1.0,81,,,,,,,,,74.0,6.0,,,,,,
5516,2021,2,CLS802,Total Grades Given for are,12.0,5.0,,1.0,32,11.0,,,,3.0,,,,,,,,,,,
5517,2021,2,CM 611,Total Grades Given for are,,1.0,,,10,,,1.0,,,8.0,,,,,,,,,,
5518,2021,2,CM 801,Total Grades Given for are,5.0,9.0,3.0,4.0,34,5.0,3.0,1.0,2.0,,2.0,,,,,,,,,,
5519,2021,2,CMS801,Total Grades Given for are,1.0,,,,3,2.0,,,,,,,,,,,,,,,
5520,2021,2,CS 152,Total Grades Given for are,63.0,27.0,3.0,3.0,191,54.0,18.0,14.0,9.0,,,,,,,,,,,,
5521,2021,2,CS 154,Total Grades Given for are,61.0,33.0,8.0,5.0,192,58.0,18.0,5.0,4.0,,,,,,,,,,,,
5522,2021,2,CS 154,Total Grades Given for section S1 are,,2.0,,,2,,,,,,,,,,,,,,,,S1
5523,2021,2,CS 213,Total Grades Given for are,,,,1.0,4,,,,,,3.0,,,,,,,,,,
5524,2021,2,CS 213,Total Grades Given for section M are,8.0,6.0,7.0,11.0,137,,28.0,38.0,37.0,2.0,,,,,,,,,,,M
5525,2021,2,CS 218,Total Grades Given for are,26.0,43.0,9.0,4.0,186,26.0,51.0,15.0,12.0,,,,,,,,,,,,
5526,2021,2,CS 224,Total Grades Given for are,39.0,30.0,11.0,21.0,188,14.0,22.0,17.0,32.0,2.0,,,,,,,,,,,
5527,2021,2,CS 228,Total Grades Given for are,34.0,39.0,11.0,5.0,185,18.0,32.0,29.0,16.0,,,,1.0,,,,,,,,
5528,2021,2,CS 230,Total Grades Given for are,56.0,43.0,3.0,3.0,180,39.0,20.0,9.0,3.0,2.0,,,2.0,,,,,,,,
5529,2021,2,CS 232,Total Grades Given for are,57.0,31.0,,2.0,177,81.0,5.0,,1.0,,,,,,,,,,,,
5530,2021,2,CS 252,Total Grades Given for are,30.0,27.0,2.0,5.0,182,41.0,28.0,37.0,11.0,,1.0,,,,,,,,,,
5531,2021,2,CS 302,Total Grades Given for are,31.0,18.0,18.0,1.0,143,14.0,26.0,17.0,14.0,4.0,,,,,,,,,,,
5532,2021,2,CS 310,Total Grades Given for are,26.0,29.0,8.0,,143,11.0,25.0,23.0,16.0,5.0,,,,,,,,,,,
5533,2021,2,CS 316,Total Grades Given for are,10.0,10.0,10.0,16.0,148,76.0,10.0,8.0,6.0,2.0,,,,,,,,,,,
5534,2021,2,CS 317,Total Grades Given for are,23.0,27.0,8.0,7.0,151,27.0,31.0,22.0,6.0,,,,,,,,,,,,
5535,2021,2,CS 347,Total Grades Given for are,1.0,,,,1,,,,,,,,,,,,,,,,
5536,2021,2,CS 347,Total Grades Given for section M are,20.0,11.0,14.0,26.0,141,29.0,13.0,10.0,18.0,,,,,,,,,,,,M
5537,2021,2,CS 387,Total Grades Given for are,23.0,17.0,2.0,7.0,144,74.0,13.0,3.0,5.0,,,,,,,,,,,,
5538,2021,2,CS 408,Total Grades Given for are,3.0,1.0,2.0,,14,1.0,3.0,1.0,2.0,,,1.0,,,,,,,,,
5539,2021,2,CS 419,Total Grades Given for section M are,24.0,36.0,4.0,3.0,135,8.0,27.0,29.0,4.0,,,,,,,,,,,,M
5540,2021,2,CS 467,Total Grades Given for are,,,,,1,,,1.0,,,,,,,,,,,,,
5541,2021,2,CS 602,Total Grades Given for are,9.0,23.0,,2.0,61,6.0,13.0,6.0,1.0,1.0,,,,,,,,,,,
5542,2021,2,CS 602,Total Grades Given for section M are,,,,,1,,1.0,,,,,,,,,,,,,,M
5543,2021,2,CS 613,Total Grades Given for are,4.0,4.0,,3.0,18,3.0,1.0,2.0,,1.0,,,,,,,,,,,
